symbol,type,quantity,price,fee,currency,executedAt,notes
AAPL,Buy,10,175.50,1.00,USD,2024-01-15T14:30:00Z,Initial position
MSFT,Buy,5,395.20,1.00,USD,2024-02-01T15:00:00Z,
NVDA,Buy,8,520.00,1.00,USD,2024-02-20T16:00:00Z,AI thesis
GOOGL,Buy,12,142.30,1.00,USD,2024-03-05T14:15:00Z,
AMZN,Buy,6,178.90,1.00,USD,2024-03-22T14:45:00Z,
AAPL,Buy,5,210.00,1.00,USD,2024-06-10T15:00:00Z,Add on dip
TSLA,Buy,15,182.50,1.00,USD,2024-04-12T15:30:00Z,
META,Buy,7,485.20,1.00,USD,2024-05-08T14:00:00Z,
NVDA,Sell,3,920.00,1.00,USD,2024-08-15T16:00:00Z,Trim winners
AAPL,Dividend,15,0.24,0,USD,2024-08-15T00:00:00Z,Q3 dividend
MSFT,Dividend,5,0.75,0,USD,2024-09-12T00:00:00Z,Q3 dividend
TSLA,Sell,5,250.00,1.00,USD,2024-10-22T15:00:00Z,Short-term gain
SPY,Buy,20,545.00,1.00,USD,2024-11-04T14:30:00Z,Index allocation
QQQ,Buy,10,478.00,1.00,USD,2024-11-04T14:35:00Z,
AAPL,Buy,8,228.00,1.00,USD,2025-01-08T14:30:00Z,DCA
MSFT,Buy,3,418.00,1.00,USD,2025-02-14T15:00:00Z,
NVDA,Buy,4,135.00,1.00,USD,2025-03-12T16:00:00Z,Post-split add
GOOGL,Dividend,12,0.20,0,USD,2025-03-15T00:00:00Z,
AMZN,Sell,2,225.00,1.00,USD,2025-04-18T14:45:00Z,Rebalance
SPY,Dividend,20,1.75,0,USD,2025-06-21T00:00:00Z,Quarterly distribution
